Species Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Abacina alboatra,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Diplotomma,Diplotomma alboatrum
Abacina amphibia,Fungi,Ascomycota,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon,Rhizocarpon amphibium
Abacina atrovirens,Fungi,Ascomycota,Lecanoromycetes,Rhizocarpales,Rhizocarpaceae,Rhizocarpon,Rhizocarpon geographicum
Abortiporus biennis f. biennis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis f. distortus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis f. pulvinatus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis f. thelephoroideus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis var. biennis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus biennis var. sowerbyi,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus borealis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Climacocystis,Climacocystis borealis
Abortiporus distortus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
Abortiporus fimbriatus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex,Irpex rosettiformis
Abortiporus fractipes,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces fractipes
Abortiporus humilis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces fractipes
Abortiporus subabortivus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Diacanthodes,Diacanthodes novoguineensis
Abortiporus tropicalis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces fractipes
Abortiporus wynneae,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Loweomyces,Loweomyces wynneae
Abortiporus zonatus,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus zonatus
Abrachium floriforme,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Abrachium,Abrachium floriforme
Abradeosporangium variisporum,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Poitrasia,Poitrasia circinans
Abrothallus parmeliarum f. parmeliarum,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus parmeliarum f. prodiens,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus prodiens
Abrothallus parmeliarum var. parmeliarum,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus cladonema,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Polycoccaceae,Clypeococcum,Clypeococcum cladonema
Abrothallus glabratulae,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus inquinans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Micarea,Micarea inquinans
Abrothallus lobariellus,Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Sclerococcaceae,Sclerococcum,Sclerococcum lobariellum
Abrothallus moorei,Fungi,Ascomycota,Lecanoromycetes,,,Bachmanniomyces,Bachmanniomyces punctum
Abrothallus oxysporus,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Punctelia,Punctelia oxyspora
Abrothallus pulverulentus,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Tetramelas,Tetramelas pulverulentus
Abrothallus smithii,Fungi,Ascomycota,Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus,Abrothallus parmeliarum
Abrothallus talcophilus,Fungi,Ascomycota,Dothideomycetes,Dothideales,,Karschia,Karschia talcophila
Abrothallus tegularum,Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,Sclerococcaceae,Sclerococcum,Sclerococcum tegularum
Absconditella modesta,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella delutula
Absidia cylindrospora var. cylindrospora,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia cylindrospora
Absidia blakesleeana var. atrospora,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia blakesleeana var. blakesleeana,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia blakesleeana
Absidia caerulea var. caerulea,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia caerulea var. saccardoi,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia corymbifera var. corymbifera,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia corymbifera var. ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia corymbifera var. regnieri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia corymbifera var. truchisii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia glauca var. asparagi,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia glauca var. glauca,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia glauca var. paradoxa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia lichtheimii var. lichtheimii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia lichtheimii var. rastii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia lichtheimii var. zurcheri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa f. ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa f. typica,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia ramosa var. ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa var. rastii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia ramosa var. zurcheri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia blakesleeana,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia blakesleeana
Absidia butleri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Gongronella,Gongronella butleri
Absidia cornealis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia corymbifera,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia cristata,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia ginsan,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia gracilis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia hyalospora,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia italiana,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia japonica,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia repens
Absidia lichtheimii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia merdaria,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia hyalospora
Absidia orchidis,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia caerulea
Absidia ornata,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ornata
Absidia padenii,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Chlamydoabsidia,Chlamydoabsidia padenii
Absidia parasitica,,,,,,,
Absidia parricida,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lentamycetaceae,Lentamyces,Lentamyces parricidus
Absidia ramosa,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia ramosa
Absidia regnieri,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia corymbifera
Absidia sphaerosporangioides,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
